rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
158,only,1,138,123,8.985,1369,pending,psychoanalytic_psychology_high_frequency_recon,,only,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
159,data,1,138,104,7.597,1369,pending,psychoanalytic_psychology_high_frequency_recon,,data,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
160,participants,1,138,75,5.478,1369,pending,psychoanalytic_psychology_high_frequency_recon,,participants,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
161,dynamic,1,137,71,5.186,1369,pending,psychoanalytic_psychology_high_frequency_recon,,dynamic,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
162,recent,1,137,120,8.766,1369,pending,psychoanalytic_psychology_high_frequency_recon,,recent,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
163,rorschach,1,136,42,3.068,1369,pending,psychoanalytic_psychology_high_frequency_recon,,rorschach,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
164,however,1,136,128,9.35,1369,pending,psychoanalytic_psychology_high_frequency_recon,,however,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
165,analyst's,1,136,71,5.186,1369,pending,psychoanalytic_psychology_high_frequency_recon,,analyst's,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
166,frank,1,136,48,3.506,1369,pending,psychoanalytic_psychology_high_frequency_recon,,frank,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
167,like,1,136,118,8.619,1369,pending,psychoanalytic_psychology_high_frequency_recon,,like,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
168,nature,1,135,112,8.181,1369,pending,psychoanalytic_psychology_high_frequency_recon,,nature,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
169,journal,1,135,89,6.501,1369,pending,psychoanalytic_psychology_high_frequency_recon,,journal,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
170,health,1,134,90,6.574,1369,pending,psychoanalytic_psychology_high_frequency_recon,,health,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
171,style,1,134,52,3.798,1369,pending,psychoanalytic_psychology_high_frequency_recon,,style,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
172,over,1,133,114,8.327,1369,pending,psychoanalytic_psychology_high_frequency_recon,,over,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
173,current,1,133,119,8.692,1369,pending,psychoanalytic_psychology_high_frequency_recon,,current,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
174,need,1,132,104,7.597,1369,pending,psychoanalytic_psychology_high_frequency_recon,,need,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
175,although,1,132,126,9.204,1369,pending,psychoanalytic_psychology_high_frequency_recon,,although,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
176,become,1,132,123,8.985,1369,pending,psychoanalytic_psychology_high_frequency_recon,,become,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
177,scale,1,131,61,4.456,1369,pending,psychoanalytic_psychology_high_frequency_recon,,scale,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
178,international,1,131,46,3.36,1369,pending,psychoanalytic_psychology_high_frequency_recon,,international,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
179,potential,1,130,94,6.866,1369,pending,psychoanalytic_psychology_high_frequency_recon,,potential,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
180,space,1,130,62,4.529,1369,pending,psychoanalytic_psychology_high_frequency_recon,,space,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
181,diagnostic,1,129,63,4.602,1369,pending,psychoanalytic_psychology_high_frequency_recon,,diagnostic,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
182,orcid,1,129,79,5.771,1369,pending,psychoanalytic_psychology_high_frequency_recon,,orcid,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
183,thinking,1,128,91,6.647,1369,pending,psychoanalytic_psychology_high_frequency_recon,,thinking,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
184,mothers,1,128,35,2.557,1369,pending,psychoanalytic_psychology_high_frequency_recon,,mothers,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
185,fantasy,1,127,58,4.237,1369,pending,psychoanalytic_psychology_high_frequency_recon,,fantasy,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
186,relation,1,127,88,6.428,1369,pending,psychoanalytic_psychology_high_frequency_recon,,relation,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
187,san,1,127,51,3.725,1369,pending,psychoanalytic_psychology_high_frequency_recon,,san,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
188,now,1,126,109,7.962,1369,pending,psychoanalytic_psychology_high_frequency_recon,,now,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
189,further,1,126,105,7.67,1369,pending,psychoanalytic_psychology_high_frequency_recon,,further,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
190,love,1,126,51,3.725,1369,pending,psychoanalytic_psychology_high_frequency_recon,,love,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
191,problems,1,125,87,6.355,1369,pending,psychoanalytic_psychology_high_frequency_recon,,problems,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
192,individuals,1,124,88,6.428,1369,pending,psychoanalytic_psychology_high_frequency_recon,,individuals,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
193,influence,1,124,81,5.917,1369,pending,psychoanalytic_psychology_high_frequency_recon,,influence,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
194,paul,1,124,41,2.995,1369,pending,psychoanalytic_psychology_high_frequency_recon,,paul,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
195,organization,1,123,63,4.602,1369,pending,psychoanalytic_psychology_high_frequency_recon,,organization,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
196,suite,1,123,123,8.985,1369,pending,psychoanalytic_psychology_high_frequency_recon,,suite,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
197,dreams,1,123,34,2.484,1369,pending,psychoanalytic_psychology_high_frequency_recon,,dreams,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
198,level,1,122,89,6.501,1369,pending,psychoanalytic_psychology_high_frequency_recon,,level,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
199,michael,1,122,42,3.068,1369,pending,psychoanalytic_psychology_high_frequency_recon,,michael,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
200,play,1,120,62,4.529,1369,pending,psychoanalytic_psychology_high_frequency_recon,,play,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
201,central,1,120,108,7.889,1369,pending,psychoanalytic_psychology_high_frequency_recon,,central,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
202,maternal,1,120,43,3.141,1369,pending,psychoanalytic_psychology_high_frequency_recon,development_attachment,maternal,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
203,effects,1,120,66,4.821,1369,pending,psychoanalytic_psychology_high_frequency_recon,,effects,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
204,state,1,119,72,5.259,1369,pending,psychoanalytic_psychology_high_frequency_recon,,state,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
205,american,1,119,80,5.844,1369,pending,psychoanalytic_psychology_high_frequency_recon,,american,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
206,association,1,119,87,6.355,1369,pending,psychoanalytic_psychology_high_frequency_recon,,association,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
207,integration,1,119,83,6.063,1369,pending,psychoanalytic_psychology_high_frequency_recon,,integration,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
208,infant,1,119,55,4.018,1369,pending,psychoanalytic_psychology_high_frequency_recon,development_attachment,infant,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
209,technique,1,119,70,5.113,1369,pending,psychoanalytic_psychology_high_frequency_recon,technique_process,technique,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
210,adelphi,1,119,24,1.753,1369,pending,psychoanalytic_psychology_high_frequency_recon,,adelphi,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
211,psyd,1,118,103,7.524,1369,pending,psychoanalytic_psychology_high_frequency_recon,,psyd,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
212,identification,1,117,55,4.018,1369,pending,psychoanalytic_psychology_high_frequency_recon,object_relations,identification,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
213,including,1,117,105,7.67,1369,pending,psychoanalytic_psychology_high_frequency_recon,,including,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
214,chicago,1,117,54,3.944,1369,pending,psychoanalytic_psychology_high_frequency_recon,,chicago,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
215,graduate,1,117,43,3.141,1369,pending,psychoanalytic_psychology_high_frequency_recon,,graduate,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
216,primary,1,116,77,5.625,1369,pending,psychoanalytic_psychology_high_frequency_recon,,primary,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
217,sample,1,116,78,5.698,1369,pending,psychoanalytic_psychology_high_frequency_recon,,sample,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
218,young,1,116,55,4.018,1369,pending,psychoanalytic_psychology_high_frequency_recon,,young,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
219,future,1,116,78,5.698,1369,pending,psychoanalytic_psychology_high_frequency_recon,,future,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
220,often,1,115,102,7.451,1369,pending,psychoanalytic_psychology_high_frequency_recon,,often,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
221,loss,1,115,60,4.383,1369,pending,psychoanalytic_psychology_high_frequency_recon,,loss,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
222,analysts,1,115,77,5.625,1369,pending,psychoanalytic_psychology_high_frequency_recon,,analysts,background_domain_term,explicit_background_domain_rule,False,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
223,structure,1,114,73,5.332,1369,pending,psychoanalytic_psychology_high_frequency_recon,,structure,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
224,parental,1,114,48,3.506,1369,pending,psychoanalytic_psychology_high_frequency_recon,,parental,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
225,function,1,114,82,5.99,1369,pending,psychoanalytic_psychology_high_frequency_recon,,function,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
226,changes,1,114,79,5.771,1369,pending,psychoanalytic_psychology_high_frequency_recon,,changes,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
227,method,1,113,72,5.259,1369,pending,psychoanalytic_psychology_high_frequency_recon,,method,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
228,parents,1,113,52,3.798,1369,pending,psychoanalytic_psychology_high_frequency_recon,,parents,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
229,peter,1,113,37,2.703,1369,pending,psychoanalytic_psychology_high_frequency_recon,,peter,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
230,shame,1,112,37,2.703,1369,pending,psychoanalytic_psychology_high_frequency_recon,affect_trauma_regulation,shame,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
231,past,1,112,87,6.355,1369,pending,psychoanalytic_psychology_high_frequency_recon,,past,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
232,private,1,112,95,6.939,1369,pending,psychoanalytic_psychology_high_frequency_recon,,private,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
233,department,1,112,89,6.501,1369,pending,psychoanalytic_psychology_high_frequency_recon,,department,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
234,found,1,111,96,7.012,1369,pending,psychoanalytic_psychology_high_frequency_recon,,found,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
235,pathological,1,111,46,3.36,1369,pending,psychoanalytic_psychology_high_frequency_recon,,pathological,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
