journal_key,period,semantic_family,n_articles_refined,n_family_hit_rows_refined,n_articles_group,pct_articles_group_refined
ijpa,2010-2025,drive_conflict_defense,395,395,1221,32.3505
ijpa,2010-2025,dream_fantasy_unconscious,227,227,1221,18.5913
ijpa,2010-2025,ego_self_narcissism,191,191,1221,15.6429
ijpa,2010-2025,object_relations,254,254,1221,20.8026
ijpa,2010-2025,kleinian_bionian,166,166,1221,13.5954
ijpa,2010-2025,winnicottian_environment_holding,26,26,1221,2.1294
ijpa,2010-2025,attachment_development_infant,197,197,1221,16.1343
ijpa,2010-2025,transference_countertransference,248,248,1221,20.3112
ijpa,2010-2025,technique_interpretation_process,258,258,1221,21.1302
ijpa,2010-2025,relational_intersubjective_field,212,212,1221,17.3628
ijpa,2010-2025,trauma_dissociation_affect_regulation,184,184,1221,15.0696
ijpa,2010-2025,psychosis_borderline_primitive_states,81,81,1221,6.6339
ijpa,2010-2025,body_sexuality_gender,165,165,1221,13.5135
ijpa,2010-2025,language_narrative_symbolization,223,223,1221,18.2637
ijpa,2010-2025,culture_race_social_ethics,169,169,1221,13.8411
ijpa,2010-2025,empirical_research_measurement,70,70,1221,5.733
ijpa,2010-2025,history_theory_schools,78,78,1221,6.3882
japa,1946-1969,drive_conflict_defense,252,252,538,46.8401
japa,1946-1969,dream_fantasy_unconscious,155,155,538,28.8104
japa,1946-1969,ego_self_narcissism,159,159,538,29.5539
japa,1946-1969,object_relations,112,112,538,20.8178
japa,1946-1969,kleinian_bionian,2,2,538,0.3717
japa,1946-1969,winnicottian_environment_holding,13,13,538,2.4164
japa,1946-1969,attachment_development_infant,131,131,538,24.3494
japa,1946-1969,transference_countertransference,89,89,538,16.5428
japa,1946-1969,technique_interpretation_process,113,113,538,21.0037
japa,1946-1969,relational_intersubjective_field,58,58,538,10.7807
japa,1946-1969,trauma_dissociation_affect_regulation,61,61,538,11.3383
japa,1946-1969,psychosis_borderline_primitive_states,35,35,538,6.5056
japa,1946-1969,body_sexuality_gender,92,92,538,17.1004
japa,1946-1969,language_narrative_symbolization,75,75,538,13.9405
japa,1946-1969,culture_race_social_ethics,21,21,538,3.9033
japa,1946-1969,empirical_research_measurement,36,36,538,6.6914
japa,1946-1969,history_theory_schools,49,49,538,9.1078
japa,1970-1989,drive_conflict_defense,332,332,681,48.7518
japa,1970-1989,dream_fantasy_unconscious,165,165,681,24.2291
japa,1970-1989,ego_self_narcissism,208,208,681,30.5433
japa,1970-1989,object_relations,153,153,681,22.467
japa,1970-1989,kleinian_bionian,5,5,681,0.7342
japa,1970-1989,winnicottian_environment_holding,14,14,681,2.0558
japa,1970-1989,attachment_development_infant,159,159,681,23.348
japa,1970-1989,transference_countertransference,134,134,681,19.6769
japa,1970-1989,technique_interpretation_process,152,152,681,22.3201
japa,1970-1989,relational_intersubjective_field,74,74,681,10.8664
japa,1970-1989,trauma_dissociation_affect_regulation,75,75,681,11.0132
japa,1970-1989,psychosis_borderline_primitive_states,35,35,681,5.1395
japa,1970-1989,body_sexuality_gender,96,96,681,14.0969
japa,1970-1989,language_narrative_symbolization,75,75,681,11.0132
japa,1970-1989,culture_race_social_ethics,12,12,681,1.7621
