rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
108,relationships,1,112,81,9.31,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,relationships,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
109,very,1,112,86,9.885,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,very,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
110,dynamic,1,112,49,5.632,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,dynamic,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
111,early,1,111,75,8.621,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,early,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
112,transference,1,111,71,8.161,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,transference_countertransference,transference,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
113,psychic,1,111,62,7.126,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,psychic,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
115,road,1,110,107,12.299,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,road,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
116,literature,1,110,76,8.736,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,literature,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
117,forensic,1,108,31,3.563,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,forensic,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
118,feelings,1,107,73,8.391,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,feelings,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
119,help,1,106,88,10.115,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,help,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
120,often,1,105,92,10.575,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,often,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
121,made,1,104,93,10.69,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,made,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
122,evidence,1,103,64,7.356,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,evidence,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
123,community,1,103,55,6.322,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,community,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
124,impact,1,103,72,8.276,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,impact,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
125,evidence-based,1,103,37,4.253,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,evidence-based,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
126,internal,1,102,79,9.08,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,internal,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
