rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family
214,chicago,1,117,54,3.944,1369,pending,psychoanalytic_psychology_high_frequency_recon,
215,graduate,1,117,43,3.141,1369,pending,psychoanalytic_psychology_high_frequency_recon,
216,primary,1,116,77,5.625,1369,pending,psychoanalytic_psychology_high_frequency_recon,
217,sample,1,116,78,5.698,1369,pending,psychoanalytic_psychology_high_frequency_recon,
218,young,1,116,55,4.018,1369,pending,psychoanalytic_psychology_high_frequency_recon,
219,future,1,116,78,5.698,1369,pending,psychoanalytic_psychology_high_frequency_recon,
220,often,1,115,102,7.451,1369,pending,psychoanalytic_psychology_high_frequency_recon,
221,loss,1,115,60,4.383,1369,pending,psychoanalytic_psychology_high_frequency_recon,
222,analysts,1,115,77,5.625,1369,pending,psychoanalytic_psychology_high_frequency_recon,
223,structure,1,114,73,5.332,1369,pending,psychoanalytic_psychology_high_frequency_recon,
224,parental,1,114,48,3.506,1369,pending,psychoanalytic_psychology_high_frequency_recon,
225,function,1,114,82,5.99,1369,pending,psychoanalytic_psychology_high_frequency_recon,
226,changes,1,114,79,5.771,1369,pending,psychoanalytic_psychology_high_frequency_recon,
227,method,1,113,72,5.259,1369,pending,psychoanalytic_psychology_high_frequency_recon,
228,parents,1,113,52,3.798,1369,pending,psychoanalytic_psychology_high_frequency_recon,
229,peter,1,113,37,2.703,1369,pending,psychoanalytic_psychology_high_frequency_recon,
230,shame,1,112,37,2.703,1369,pending,psychoanalytic_psychology_high_frequency_recon,affect_trauma_regulation
231,past,1,112,87,6.355,1369,pending,psychoanalytic_psychology_high_frequency_recon,
232,private,1,112,95,6.939,1369,pending,psychoanalytic_psychology_high_frequency_recon,
233,department,1,112,89,6.501,1369,pending,psychoanalytic_psychology_high_frequency_recon,
234,found,1,111,96,7.012,1369,pending,psychoanalytic_psychology_high_frequency_recon,
235,pathological,1,111,46,3.36,1369,pending,psychoanalytic_psychology_high_frequency_recon,
236,out,1,111,84,6.136,1369,pending,psychoanalytic_psychology_high_frequency_recon,
237,supervision,1,110,33,2.411,1369,pending,psychoanalytic_psychology_high_frequency_recon,
238,levels,1,109,65,4.748,1369,pending,psychoanalytic_psychology_high_frequency_recon,
239,interventions,1,109,67,4.894,1369,pending,psychoanalytic_psychology_high_frequency_recon,
240,drive,1,109,82,5.99,1369,pending,psychoanalytic_psychology_high_frequency_recon,
241,others,1,108,94,6.866,1369,pending,psychoanalytic_psychology_high_frequency_recon,
242,illustrate,1,108,107,7.816,1369,pending,psychoanalytic_psychology_high_frequency_recon,
243,after,1,108,89,6.501,1369,pending,psychoanalytic_psychology_high_frequency_recon,
244,california,1,108,56,4.091,1369,pending,psychoanalytic_psychology_high_frequency_recon,
245,support,1,107,91,6.647,1369,pending,psychoanalytic_psychology_high_frequency_recon,
246,interaction,1,107,71,5.186,1369,pending,psychoanalytic_psychology_high_frequency_recon,
247,importance,1,107,96,7.012,1369,pending,psychoanalytic_psychology_high_frequency_recon,
248,reflective,1,107,33,2.411,1369,pending,psychoanalytic_psychology_high_frequency_recon,
249,college,1,107,71,5.186,1369,pending,psychoanalytic_psychology_high_frequency_recon,
250,differences,1,106,78,5.698,1369,pending,psychoanalytic_psychology_high_frequency_recon,
1,new york,2,534,300,21.914,1369,pending,psychoanalytic_psychology_high_frequency_recon,
2,object relations,2,224,96,7.012,1369,pending,psychoanalytic_psychology_high_frequency_recon,object_relations
3,gmail com,2,175,171,12.491,1369,pending,psychoanalytic_psychology_high_frequency_recon,
4,psychoanalytic theory,2,165,111,8.108,1369,pending,psychoanalytic_psychology_high_frequency_recon,
5,relationship between,2,152,77,5.625,1369,pending,psychoanalytic_psychology_high_frequency_recon,
6,e-mail notification,2,150,50,3.652,1369,pending,psychoanalytic_psychology_high_frequency_recon,
7,notification latest,2,150,50,3.652,1369,pending,psychoanalytic_psychology_high_frequency_recon,
8,latest online,2,150,50,3.652,1369,pending,psychoanalytic_psychology_high_frequency_recon,
9,york e-mail,2,132,131,9.569,1369,pending,psychoanalytic_psychology_high_frequency_recon,
10,united states,2,131,90,6.574,1369,pending,psychoanalytic_psychology_high_frequency_recon,
11,orcid org,2,129,79,5.771,1369,pending,psychoanalytic_psychology_high_frequency_recon,
12,https orcid,2,124,74,5.405,1369,pending,psychoanalytic_psychology_high_frequency_recon,
13,personality disorder,2,117,47,3.433,1369,pending,psychoanalytic_psychology_high_frequency_recon,
14,adelphi university,2,107,13,0.95,1369,pending,psychoanalytic_psychology_high_frequency_recon,
15,psychoanalytic psychotherapy,2,102,52,3.798,1369,pending,psychoanalytic_psychology_high_frequency_recon,
16,professional psychology,2,100,18,1.315,1369,pending,psychoanalytic_psychology_high_frequency_recon,
17,school professional,2,89,12,0.877,1369,pending,psychoanalytic_psychology_high_frequency_recon,
18,san francisco,2,87,39,2.849,1369,pending,psychoanalytic_psychology_high_frequency_recon,
19,university new,2,84,26,1.899,1369,pending,psychoanalytic_psychology_high_frequency_recon,
20,mental health,2,80,58,4.237,1369,pending,psychoanalytic_psychology_high_frequency_recon,
21,adult attachment,2,78,31,2.264,1369,pending,psychoanalytic_psychology_high_frequency_recon,development_attachment
22,alliant international,2,78,5,0.365,1369,pending,psychoanalytic_psychology_high_frequency_recon,
23,borderline personality,2,77,34,2.484,1369,pending,psychoanalytic_psychology_high_frequency_recon,
24,reflective functioning,2,77,24,1.753,1369,pending,psychoanalytic_psychology_high_frequency_recon,
25,psychoanalytic treatment,2,74,52,3.798,1369,pending,psychoanalytic_psychology_high_frequency_recon,technique_process
26,self psychology,2,70,31,2.264,1369,pending,psychoanalytic_psychology_high_frequency_recon,self_narcissism
27,private practice,2,69,65,4.748,1369,pending,psychoanalytic_psychology_high_frequency_recon,
28,personality organization,2,68,26,1.899,1369,pending,psychoanalytic_psychology_high_frequency_recon,
29,analytic process,2,68,38,2.776,1369,pending,psychoanalytic_psychology_high_frequency_recon,technique_process
30,attachment style,2,68,20,1.461,1369,pending,psychoanalytic_psychology_high_frequency_recon,development_attachment
31,states email,2,68,66,4.821,1369,pending,psychoanalytic_psychology_high_frequency_recon,
32,personality disorders,2,67,33,2.411,1369,pending,psychoanalytic_psychology_high_frequency_recon,
33,york new,2,64,54,3.944,1369,pending,psychoanalytic_psychology_high_frequency_recon,
34,psychoanalysis runninghead,2,62,62,4.529,1369,pending,psychoanalytic_psychology_high_frequency_recon,
35,city university,2,61,20,1.461,1369,pending,psychoanalytic_psychology_high_frequency_recon,
36,robert bornstein,2,59,19,1.388,1369,pending,psychoanalytic_psychology_high_frequency_recon,
37,clinical practice,2,59,43,3.141,1369,pending,psychoanalytic_psychology_high_frequency_recon,
38,sidney blatt,2,59,17,1.242,1369,pending,psychoanalytic_psychology_high_frequency_recon,
39,psychodynamic psychotherapy,2,59,27,1.972,1369,pending,psychoanalytic_psychology_high_frequency_recon,
40,apa org,2,59,57,4.164,1369,pending,psychoanalytic_psychology_high_frequency_recon,
41,psychoanalytic process,2,58,30,2.191,1369,pending,psychoanalytic_psychology_high_frequency_recon,technique_process
42,independent practice,2,57,55,4.018,1369,pending,psychoanalytic_psychology_high_frequency_recon,
43,apa journal,2,57,57,4.164,1369,pending,psychoanalytic_psychology_high_frequency_recon,
44,frank summers,2,55,17,1.242,1369,pending,psychoanalytic_psychology_high_frequency_recon,
45,therapeutic process,2,55,38,2.776,1369,pending,psychoanalytic_psychology_high_frequency_recon,technique_process
46,aol com,2,55,55,4.018,1369,pending,psychoanalytic_psychology_high_frequency_recon,
47,available online,2,54,54,3.944,1369,pending,psychoanalytic_psychology_high_frequency_recon,
48,now available,2,54,54,3.944,1369,pending,psychoanalytic_psychology_high_frequency_recon,
49,therapeutic relationship,2,53,40,2.922,1369,pending,psychoanalytic_psychology_high_frequency_recon,technique_process
50,projective identification,2,53,23,1.68,1369,pending,psychoanalytic_psychology_high_frequency_recon,object_relations
51,attachment theory,2,53,26,1.899,1369,pending,psychoanalytic_psychology_high_frequency_recon,development_attachment
52,state university,2,52,23,1.68,1369,pending,psychoanalytic_psychology_high_frequency_recon,
53,york city,2,52,41,2.995,1369,pending,psychoanalytic_psychology_high_frequency_recon,
54,therapeutic action,2,52,29,2.118,1369,pending,psychoanalytic_psychology_high_frequency_recon,technique_process
55,become available,2,52,52,3.798,1369,pending,psychoanalytic_psychology_high_frequency_recon,
56,online e-mail,2,50,50,3.652,1369,pending,psychoanalytic_psychology_high_frequency_recon,
57,online runninghead,2,50,50,3.652,1369,pending,psychoanalytic_psychology_high_frequency_recon,
58,runninghead e-mail,2,50,50,3.652,1369,pending,psychoanalytic_psychology_high_frequency_recon,
59,online like,2,50,50,3.652,1369,pending,psychoanalytic_psychology_high_frequency_recon,
