rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
42,japa,plenary,terms_unigram,2924,9240,81,21,2.7702,0.2273,2.5429,11.976,11.205869,plenary,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,plenary,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
43,japa,behavioral,terms_unigram,2924,9240,98,85,3.3516,0.9199,2.4317,3.6397,11.173768,behavioral,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,behavioral,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
44,japa,drive,terms_unigram,2924,9240,212,478,7.2503,5.1732,2.0772,1.403,11.136379,drive,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,drive,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
45,japa,fantasy,terms_unigram,2924,9240,186,400,6.3611,4.329,2.0321,1.4712,10.63037,fantasy,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,fantasy,final_keep,protected_psychoanalytic_term,True,key_terms_by_journal
48,japa,freud's,terms_unigram,2924,9240,448,1268,15.3215,13.7229,1.5985,1.117,9.762282,freud's,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,freud's,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
49,japa,relatively,terms_unigram,2924,9240,121,199,4.1382,2.1537,1.9845,1.9241,9.533518,relatively,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,relatively,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
51,japa,preoedipal,terms_unigram,2924,9240,74,35,2.5308,0.3788,2.152,6.6301,9.291199,preoedipal,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,preoedipal,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
53,japa,regarding,terms_unigram,2924,9240,173,381,5.9166,4.1234,1.7932,1.4368,9.251094,regarding,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,regarding,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
54,japa,publication,terms_unigram,2924,9240,190,439,6.4979,4.7511,1.7469,1.3694,9.175017,publication,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,publication,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
55,japa,education,terms_unigram,2924,9240,129,237,4.4118,2.5649,1.8468,1.7227,8.989507,education,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,education,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
57,japa,fall,terms_unigram,2924,9240,94,117,3.2148,1.2662,1.9485,2.5409,8.873414,fall,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,fall,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
59,japa,january,terms_unigram,2924,9240,89,103,3.0438,1.1147,1.9291,2.732,8.68039,january,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,january,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
60,japa,oedipal,terms_unigram,2924,9240,157,344,5.3694,3.7229,1.6464,1.4444,8.335124,oedipal,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,oedipal,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
63,japa,haven,terms_unigram,2924,9240,73,58,2.4966,0.6277,1.8689,3.9694,8.043757,haven,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,haven,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
64,japa,arnold,terms_unigram,2924,9240,74,62,2.5308,0.671,1.8598,3.7659,8.029596,arnold,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,arnold,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
66,japa,candidates,terms_unigram,2924,9240,90,122,3.078,1.3203,1.7576,2.334,7.928418,candidates,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,candidates,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
68,japa,intrapsychic,terms_unigram,2924,9240,125,245,4.275,2.6515,1.6235,1.615,7.851465,intrapsychic,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,intrapsychic,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
69,japa,address,terms_unigram,2924,9240,138,291,4.7196,3.1494,1.5702,1.5011,7.748168,address,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,address,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
70,japa,efforts,terms_unigram,2924,9240,120,230,4.104,2.4892,1.6148,1.6516,7.744193,efforts,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,efforts,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
