rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
4,1946-1969,freud,terms_unigram,1743,10421,586,1764,33.6202,16.9274,16.6928,1.9863,106.417249,freud,candidate_concept,protected_theoretical_name,True,key_terms_by_period,,,freud,final_keep,kept_after_final_cleanup,True,key_terms_by_period
5,1946-1969,psycho-analysis,terms_unigram,1743,10421,343,289,19.6787,2.7732,16.9055,7.0906,98.738784,psycho-analysis,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,psycho-analysis,final_keep,kept_after_final_cleanup,True,key_terms_by_period
7,1946-1969,any,terms_unigram,1743,10421,426,1033,24.4406,9.9127,14.5279,2.4661,87.992615,any,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,any,final_keep,kept_after_final_cleanup,True,key_terms_by_period
11,1946-1969,fact,terms_unigram,1743,10421,333,760,19.105,7.293,11.812,2.6206,68.641344,fact,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,fact,final_keep,kept_after_final_cleanup,True,key_terms_by_period
13,1946-1969,early,terms_unigram,1743,10421,423,1397,24.2685,13.4056,10.8629,1.8109,65.717524,early,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,early,final_keep,protected_psychoanalytic_term,True,key_terms_by_period
15,1946-1969,shall,terms_unigram,1743,10421,249,311,14.2857,2.9844,11.3014,4.7865,62.399994,shall,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,shall,final_keep,kept_after_final_cleanup,True,key_terms_by_period
23,1946-1969,object,terms_unigram,1743,10421,400,1478,22.9489,14.1829,8.766,1.6188,52.543298,object,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,object,final_keep,protected_psychoanalytic_term,True,key_terms_by_period
24,1946-1969,course,terms_unigram,1743,10421,286,769,16.4085,7.3793,9.0292,2.225,51.100376,course,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,course,final_keep,kept_after_final_cleanup,True,key_terms_by_period
25,1946-1969,great,terms_unigram,1743,10421,253,557,14.5152,5.345,9.1702,2.7173,50.778613,great,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,great,final_keep,kept_after_final_cleanup,True,key_terms_by_period
27,1946-1969,behaviour,terms_unigram,1743,10421,204,263,11.704,2.5238,9.1802,4.6379,48.866342,behaviour,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,behaviour,final_keep,kept_after_final_cleanup,True,key_terms_by_period
28,1946-1969,mother,terms_unigram,1743,10421,275,754,15.7774,7.2354,8.542,2.1821,48.009494,mother,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,mother,final_keep,protected_psychoanalytic_term,True,key_terms_by_period
31,1946-1969,nature,terms_unigram,1743,10421,319,1075,18.3018,10.3157,7.9861,1.7753,46.066215,nature,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,nature,final_keep,kept_after_final_cleanup,True,key_terms_by_period
32,1946-1969,anxiety,terms_unigram,1743,10421,258,684,14.8021,6.5637,8.2384,2.2568,45.779349,anxiety,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,anxiety,final_keep,protected_psychoanalytic_term,True,key_terms_by_period
33,1946-1969,against,terms_unigram,1743,10421,277,822,15.8921,7.8879,8.0042,2.0162,45.044725,against,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,against,final_keep,kept_after_final_cleanup,True,key_terms_by_period
35,1946-1969,man,terms_unigram,1743,10421,232,575,13.3104,5.5177,7.7927,2.4142,42.478197,man,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,man,final_keep,kept_after_final_cleanup,True,key_terms_by_period
36,1946-1969,here,terms_unigram,1743,10421,274,854,15.72,8.195,7.525,1.9197,42.266383,here,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,here,final_keep,kept_after_final_cleanup,True,key_terms_by_period
37,1946-1969,attempt,terms_unigram,1743,10421,250,700,14.3431,6.7172,7.6259,2.137,42.136447,attempt,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,attempt,final_keep,kept_after_final_cleanup,True,key_terms_by_period
38,1946-1969,normal,terms_unigram,1743,10421,197,365,11.3024,3.5025,7.7998,3.2291,41.247474,normal,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,normal,final_keep,kept_after_final_cleanup,True,key_terms_by_period
40,1946-1969,like,terms_unigram,1743,10421,296,1016,16.9822,9.7495,7.2327,1.7431,41.180888,like,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,like,final_keep,kept_after_final_cleanup,True,key_terms_by_period
42,1946-1969,character,terms_unigram,1743,10421,213,483,12.2203,4.6349,7.5854,2.6388,40.703278,character,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,character,final_keep,kept_after_final_cleanup,True,key_terms_by_period
44,1946-1969,far,terms_unigram,1743,10421,206,457,11.8187,4.3854,7.4333,2.6973,39.639846,far,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,far,final_keep,kept_after_final_cleanup,True,key_terms_by_period
45,1946-1969,though,terms_unigram,1743,10421,211,491,12.1056,4.7116,7.3939,2.5715,39.606198,though,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,though,final_keep,kept_after_final_cleanup,True,key_terms_by_period
46,1946-1969,wish,terms_unigram,1743,10421,196,393,11.245,3.7712,7.4737,2.9842,39.485337,wish,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,wish,final_keep,kept_after_final_cleanup,True,key_terms_by_period
47,1946-1969,instinctual,terms_unigram,1743,10421,165,186,9.4664,1.7849,7.6816,5.303,39.268142,instinctual,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,instinctual,final_keep,kept_after_final_cleanup,True,key_terms_by_period
