term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,manual_override,manual_override_note
co-editor,final_keep,kept_after_final_cleanup,True,,
cognition object,final_keep,kept_after_final_cleanup,True,,
cognitive,final_keep,kept_after_final_cleanup,True,,
cognitive behavioural,final_keep,kept_after_final_cleanup,True,,
cognitive psychology,final_keep,kept_after_final_cleanup,True,,
cognitive science,final_keep,kept_after_final_cleanup,True,,
colleagues,final_keep,kept_after_final_cleanup,True,,
collected papers,final_keep,kept_after_final_cleanup,True,,
collected works,final_keep,kept_after_final_cleanup,True,,
collective,final_keep,kept_after_final_cleanup,True,,
cologny geneva,final_keep,kept_after_final_cleanup,True,,
columbia,final_keep,kept_after_final_cleanup,True,,
columbia physicians,final_keep,kept_after_final_cleanup,True,,
columbia steven,final_keep,kept_after_final_cleanup,True,,
comcast,final_keep,kept_after_final_cleanup,True,,
comcast net,final_keep,kept_after_final_cleanup,True,,
come,final_keep,kept_after_final_cleanup,True,,
comme,final_keep,kept_after_final_cleanup,True,,
commentary,final_keep,kept_after_final_cleanup,True,,
commentary papers,final_keep,kept_after_final_cleanup,True,,
comments news,final_keep,kept_after_final_cleanup,True,,
common ground,final_keep,kept_after_final_cleanup,True,,
common richmond,final_keep,kept_after_final_cleanup,True,,
commonwealth chestnut,final_keep,kept_after_final_cleanup,True,,
communication,final_keep,kept_after_final_cleanup,True,,
community,final_keep,kept_after_final_cleanup,True,,
como,final_keep,kept_after_final_cleanup,True,,
como una,final_keep,kept_after_final_cleanup,True,,
competition evidence-based,final_keep,kept_after_final_cleanup,True,,
competition study,final_keep,kept_after_final_cleanup,True,,
competitions open,final_keep,kept_after_final_cleanup,True,,
competitors essay,final_keep,kept_after_final_cleanup,True,,
completed,final_keep,kept_after_final_cleanup,True,,
completed accepted,final_keep,kept_after_final_cleanup,True,,
compr hension,final_keep,kept_after_final_cleanup,True,,
compromise formations,final_keep,kept_after_final_cleanup,True,,
compuserve,final_keep,kept_after_final_cleanup,True,,
concept psychic,final_keep,kept_after_final_cleanup,True,,
conception,final_keep,kept_after_final_cleanup,True,,
concerned,final_keep,kept_after_final_cleanup,True,,
concludes,final_keep,kept_after_final_cleanup,True,,
conditions governing,final_keep,kept_after_final_cleanup,True,,
conference,final_keep,kept_after_final_cleanup,True,,
conflict,final_keep,protected_psychoanalytic_term,True,,
conflicts,final_keep,kept_after_final_cleanup,True,,
congress,final_keep,kept_after_final_cleanup,True,,
congress lucerne,final_keep,kept_after_final_cleanup,True,,
congress marienbad,final_keep,kept_after_final_cleanup,True,,
connecticut,final_keep,kept_after_final_cleanup,True,,
connection,final_keep,kept_after_final_cleanup,True,,
conscious unconscious,final_keep,kept_after_final_cleanup,True,,
considered provided,final_keep,kept_after_final_cleanup,True,,
considered relation,final_keep,kept_after_final_cleanup,True,,
construct,final_keep,kept_after_final_cleanup,True,,
construct validity,final_keep,kept_after_final_cleanup,True,,
consultant,final_keep,kept_after_final_cleanup,True,,
consultant psychotherapist,final_keep,kept_after_final_cleanup,True,,
consulting room,final_keep,kept_after_final_cleanup,True,,
contact,final_keep,kept_after_final_cleanup,True,,
contain plan,final_keep,kept_after_final_cleanup,True,,
containment,final_keep,kept_after_final_cleanup,True,,
content,final_keep,kept_after_final_cleanup,True,,
content dream,final_keep,kept_after_final_cleanup,True,,
contribute,final_keep,kept_after_final_cleanup,True,,
contributing editor,final_keep,kept_after_final_cleanup,True,,
contribution,final_keep,kept_after_final_cleanup,True,,
contributions,final_keep,kept_after_final_cleanup,True,,
cooney amy,final_keep,kept_after_final_cleanup,True,,
cornell,final_keep,kept_after_final_cleanup,True,,
cornell medical,final_keep,kept_after_final_cleanup,True,,
correspondence,final_keep,kept_after_final_cleanup,True,,
correspondence addressed,final_keep,kept_after_final_cleanup,True,,
corresponding,final_keep,kept_after_final_cleanup,True,,
corresponding author,final_keep,kept_after_final_cleanup,True,,
counseling,final_keep,kept_after_final_cleanup,True,,
