term,source_table,term_col,journal_key,period,count,doc_count,doc_pct,keyness_score,pct_point_lift,candidate_review_status,suggested_semantic_family,manual_note,term_norm,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
personal,global_core_terms_after_audit,,,,1343,978,8.0401,,,pending,,,personal,personal,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,personal,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
past,global_core_terms_after_audit,,,,1340,929,7.6373,,,pending,,,past,past,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,past,final_exclude,final_stop_term,False,discriminative_candidate_terms
fact,global_core_terms_after_audit,,,,1328,1093,8.9855,,,pending,,,fact,fact,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,fact,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
man,global_core_terms_after_audit,,,,1319,807,6.6343,,,pending,,,man,man,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,man,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
structure,global_core_terms_after_audit,,,,1311,896,7.366,,,pending,,,structure,structure,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,structure,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
field,global_core_terms_after_audit,,,,1304,888,7.3002,,,pending,,,field,field,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,field,final_exclude,final_stop_term,False,discriminative_candidate_terms
identity,global_core_terms_after_audit,,,,1297,616,5.0641,,,pending,,,identity,identity,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,identity,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
objects,global_core_terms_after_audit,,,,1268,730,6.0013,,,pending,,,objects,objects,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,objects,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
sexuality,global_core_terms_after_audit,,,,1261,580,4.7682,,,pending,,,sexuality,sexuality,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,sexuality,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
issues,global_core_terms_after_audit,,,,1257,967,7.9497,,,pending,,,issues,issues,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,issues,final_exclude,final_stop_term,False,discriminative_candidate_terms
since,global_core_terms_after_audit,,,,1247,1054,8.6649,,,pending,,,since,since,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,since,final_exclude,final_stop_term,False,discriminative_candidate_terms
knowledge,global_core_terms_after_audit,,,,1243,880,7.2345,,,pending,,,knowledge,knowledge,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,knowledge,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
