rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
14,1920-1945,oedipus complex,terms_bigram,686,11478,34,207,4.9563,1.8035,3.1528,2.7781,11.209366,oedipus complex,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,oedipus complex,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
15,1920-1945,glover edward,terms_bigram,686,11478,24,6,3.4985,0.0523,3.4463,62.9796,11.09311,glover edward,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,glover edward,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
16,1920-1945,sigmund freud,terms_bigram,686,11478,31,168,4.519,1.4637,3.0553,3.1236,10.588796,sigmund freud,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,sigmund freud,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
18,1920-1945,melanie klein,terms_bigram,686,11478,27,156,3.9359,1.3591,2.5767,2.9361,8.586219,melanie klein,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,melanie klein,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
19,1920-1945,mental life,terms_bigram,686,11478,27,158,3.9359,1.3765,2.5593,2.899,8.528156,mental life,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,mental life,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
20,1920-1945,sexual intercourse,terms_bigram,686,11478,20,22,2.9155,0.1917,2.7238,15.2236,8.292612,sexual intercourse,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,sexual intercourse,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
21,1920-1945,journal vol,terms_bigram,686,11478,19,4,2.7697,0.0348,2.7348,72.4051,8.192819,journal vol,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,journal vol,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
22,1920-1945,castration complex,terms_bigram,686,11478,20,37,2.9155,0.3224,2.5931,9.1342,7.894739,castration complex,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,castration complex,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
23,1920-1945,papers vol,terms_bigram,686,11478,18,0,2.6239,0.0,2.6239,618.2285,7.725933,papers vol,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,papers vol,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
24,1920-1945,throw light,terms_bigram,686,11478,19,28,2.7697,0.2439,2.5257,11.4324,7.566424,throw light,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,throw light,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
25,1920-1945,collected papers,terms_bigram,686,11478,18,17,2.6239,0.1481,2.4758,17.6637,7.289834,collected papers,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,collected papers,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
26,1920-1945,put forward,terms_bigram,686,11478,21,93,3.0612,0.8102,2.251,3.8421,6.957871,put forward,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,put forward,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
