journal_key,period,semantic_family,n_articles,n_family_hits,n_articles_group,pct_articles_group
japa,1970-1989,drive_conflict_defense,332,332,681,48.7518
japa,1970-1989,dream_fantasy_unconscious,222,222,681,32.5991
japa,1970-1989,ego_self_narcissism,321,321,681,47.1366
japa,1970-1989,object_relations,213,213,681,31.2775
japa,1970-1989,kleinian_bionian,5,5,681,0.7342
japa,1970-1989,winnicottian_environment_holding,97,97,681,14.2438
japa,1970-1989,attachment_development_infant,264,264,681,38.7665
japa,1970-1989,transference_countertransference,134,134,681,19.6769
japa,1970-1989,technique_interpretation_process,180,180,681,26.4317
japa,1970-1989,relational_intersubjective_field,133,133,681,19.5301
japa,1970-1989,trauma_dissociation_affect_regulation,175,175,681,25.6975
japa,1970-1989,psychosis_borderline_primitive_states,61,61,681,8.9574
japa,1970-1989,body_sexuality_gender,112,112,681,16.4464
japa,1970-1989,language_narrative_symbolization,128,128,681,18.7959
japa,1970-1989,culture_race_social_ethics,80,80,681,11.7474
japa,1970-1989,empirical_research_measurement,96,96,681,14.0969
japa,1970-1989,history_theory_schools,219,219,681,32.1586
japa,1990-2009,drive_conflict_defense,352,352,975,36.1026
japa,1990-2009,dream_fantasy_unconscious,293,293,975,30.0513
japa,1990-2009,ego_self_narcissism,339,339,975,34.7692
japa,1990-2009,object_relations,194,194,975,19.8974
japa,1990-2009,kleinian_bionian,17,17,975,1.7436
japa,1990-2009,winnicottian_environment_holding,122,122,975,12.5128
japa,1990-2009,attachment_development_infant,341,341,975,34.9744
japa,1990-2009,transference_countertransference,200,200,975,20.5128
japa,1990-2009,technique_interpretation_process,288,288,975,29.5385
japa,1990-2009,relational_intersubjective_field,301,301,975,30.8718
japa,1990-2009,trauma_dissociation_affect_regulation,289,289,975,29.641
japa,1990-2009,psychosis_borderline_primitive_states,54,54,975,5.5385
japa,1990-2009,body_sexuality_gender,172,172,975,17.641
japa,1990-2009,language_narrative_symbolization,204,204,975,20.9231
japa,1990-2009,culture_race_social_ethics,171,171,975,17.5385
japa,1990-2009,empirical_research_measurement,196,196,975,20.1026
japa,1990-2009,history_theory_schools,254,254,975,26.0513
japa,2010-2025,drive_conflict_defense,174,174,730,23.8356
japa,2010-2025,dream_fantasy_unconscious,197,197,730,26.9863
japa,2010-2025,ego_self_narcissism,238,238,730,32.6027
japa,2010-2025,object_relations,145,145,730,19.863
japa,2010-2025,kleinian_bionian,33,33,730,4.5205
japa,2010-2025,winnicottian_environment_holding,122,122,730,16.7123
japa,2010-2025,attachment_development_infant,237,237,730,32.4658
japa,2010-2025,transference_countertransference,100,100,730,13.6986
japa,2010-2025,technique_interpretation_process,163,163,730,22.3288
japa,2010-2025,relational_intersubjective_field,233,233,730,31.9178
japa,2010-2025,trauma_dissociation_affect_regulation,213,213,730,29.1781
japa,2010-2025,psychosis_borderline_primitive_states,39,39,730,5.3425
japa,2010-2025,body_sexuality_gender,117,117,730,16.0274
japa,2010-2025,language_narrative_symbolization,199,199,730,27.2603
japa,2010-2025,culture_race_social_ethics,185,185,730,25.3425
japa,2010-2025,empirical_research_measurement,112,112,730,15.3425
japa,2010-2025,history_theory_schools,195,195,730,26.7123
psychoanalytic_dialogues,1990-2009,drive_conflict_defense,114,114,535,21.3084
psychoanalytic_dialogues,1990-2009,dream_fantasy_unconscious,153,153,535,28.5981
