rank_within_group,journal_key,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
43,ijpa,1946-1969,international congress,terms_bigram,1205,10959,20,31,1.6598,0.2829,1.3769,5.9143,4.191938
44,ijpa,1946-1969,shall attempt,terms_bigram,1205,10959,19,23,1.5768,0.2099,1.3669,7.541,4.094837
45,ijpa,1946-1969,psycho-analytical society,terms_bigram,1205,10959,24,80,1.9917,0.73,1.2617,2.7659,4.06128
46,ijpa,1946-1969,human behaviour,terms_bigram,1205,10959,18,13,1.4938,0.1186,1.3752,12.4538,4.049051
47,ijpa,1946-1969,van der,terms_bigram,1205,10959,18,15,1.4938,0.1369,1.3569,10.8468,3.995316
48,ijpa,1946-1969,bear mind,terms_bigram,1205,10959,18,18,1.4938,0.1642,1.3295,9.0879,3.914712
49,ijpa,1946-1969,ipso facto,terms_bigram,1205,10959,17,7,1.4108,0.0639,1.3469,21.2051,3.893082
50,ijpa,1946-1969,defences against,terms_bigram,1205,10959,19,31,1.5768,0.2829,1.2939,5.6258,3.876151
51,ijpa,1946-1969,carried out,terms_bigram,1205,10959,25,98,2.0747,0.8942,1.1804,2.3527,3.846009
52,ijpa,1946-1969,hills california,terms_bigram,1205,10959,17,11,1.4108,0.1004,1.3104,13.8294,3.787584
53,ijpa,1946-1969,functions ego,terms_bigram,1205,10959,18,23,1.4938,0.2099,1.2839,7.1543,3.780373
54,ijpa,1946-1969,secretary psycho-analysis,terms_bigram,1205,10959,16,2,1.3278,0.0182,1.3096,59.9801,3.710237
55,ijpa,1946-1969,castration anxiety,terms_bigram,1205,10959,21,60,1.7427,0.5475,1.1952,3.2296,3.694548
56,ijpa,1946-1969,part ego,terms_bigram,1205,10959,17,15,1.4108,0.1369,1.2739,10.2605,3.682087
57,ijpa,1946-1969,shall try,terms_bigram,1205,10959,17,16,1.4108,0.146,1.2648,9.6387,3.655712
58,ijpa,1946-1969,take place,terms_bigram,1205,10959,28,137,2.3237,1.2501,1.0735,1.8837,3.614918
59,ijpa,1946-1969,prize essay,terms_bigram,1205,10959,16,9,1.3278,0.0821,1.2457,15.7842,3.529267
60,ijpa,1946-1969,function ego,terms_bigram,1205,10959,17,22,1.4108,0.2007,1.21,7.0684,3.497466
61,ijpa,1946-1969,human mind,terms_bigram,1205,10959,20,57,1.6598,0.5201,1.1396,3.24,3.469631
62,ijpa,1946-1969,draw conclusions,terms_bigram,1205,10959,16,12,1.3278,0.1095,1.2183,11.996,3.451709
63,ijpa,1946-1969,great importance,terms_bigram,1205,10959,17,24,1.4108,0.219,1.1918,6.4914,3.444717
64,ijpa,1946-1969,conditions governing,terms_bigram,1205,10959,15,2,1.2448,0.0182,1.2266,56.3449,3.400756
65,ijpa,1946-1969,psycho-analytic situation,terms_bigram,1205,10959,15,2,1.2448,0.0182,1.2266,56.3449,3.400756
66,ijpa,1946-1969,prize awarded,terms_bigram,1205,10959,16,14,1.3278,0.1277,1.2001,10.3414,3.400003
67,ijpa,1946-1969,science psycho-analysis,terms_bigram,1205,10959,15,4,1.2448,0.0365,1.2083,31.3027,3.350157
68,ijpa,1946-1969,depressive position,terms_bigram,1205,10959,19,52,1.5768,0.4745,1.1023,3.3755,3.302099
69,ijpa,1946-1969,phyllis greenacre,terms_bigram,1205,10959,16,18,1.3278,0.1642,1.1636,8.1054,3.296592
70,ijpa,1946-1969,pleasure principle,terms_bigram,1205,10959,23,96,1.9087,0.876,1.0327,2.2131,3.282044
71,ijpa,1946-1969,prize judges,terms_bigram,1205,10959,15,7,1.2448,0.0639,1.1809,18.7816,3.274258
72,ijpa,1946-1969,external environment,terms_bigram,1205,10959,16,19,1.3278,0.1734,1.1544,7.6898,3.270739
73,ijpa,1946-1969,requirements essay,terms_bigram,1205,10959,15,8,1.2448,0.073,1.1718,16.572,3.248958
74,ijpa,1946-1969,awarding prize,terms_bigram,1205,10959,15,8,1.2448,0.073,1.1718,16.572,3.248958
75,ijpa,1946-1969,essay shall,terms_bigram,1205,10959,15,8,1.2448,0.073,1.1718,16.572,3.248958
76,ijpa,1946-1969,approach problem,terms_bigram,1205,10959,15,9,1.2448,0.0821,1.1627,14.8276,3.223658
