term,source_table,term_col,journal_key,period,count,doc_count,doc_pct,keyness_score,pct_point_lift,candidate_review_status,suggested_semantic_family,manual_note,term_norm
symptoms,global_core_terms_after_audit,,,,1082,683,5.6149,,,pending,,,symptoms
little,global_core_terms_after_audit,,,,1077,791,6.5028,,,pending,,,little
considered,global_core_terms_after_audit,,,,1074,950,7.8099,,,pending,,,considered
action,global_core_terms_after_audit,,,,1074,620,5.097,,,pending,,,action
psychoanalysts,global_core_terms_after_audit,,,,1073,805,6.6179,,,pending,,,psychoanalysts
fantasies,global_core_terms_after_audit,,,,1060,570,4.686,,,pending,,,fantasies
book,global_core_terms_after_audit,,,,1058,657,5.4012,,,pending,,,book
person,global_core_terms_after_audit,,,,1058,741,6.0917,,,pending,,,person
der,global_core_terms_after_audit,,,,1054,206,1.6935,,,pending,,,der
interest,global_core_terms_after_audit,,,,1049,870,7.1523,,,pending,,,interest
influence,global_core_terms_after_audit,,,,1048,772,6.3466,,,pending,,,influence
women,global_core_terms_after_audit,,,,1046,498,4.094,,,pending,,,women
come,global_core_terms_after_audit,,,,1045,841,6.9138,,,pending,,,come
depression,global_core_terms_after_audit,,,,1045,365,3.0007,,,pending,,,depression
review,global_core_terms_after_audit,,,,1043,635,5.2203,,,pending,,,review
authors,global_core_terms_after_audit,,,,1038,733,6.026,,,pending,,,authors
michael,global_core_terms_after_audit,,,,1038,308,2.5321,,,pending,,,michael
space,global_core_terms_after_audit,,,,1036,543,4.464,,,pending,,,space
forms,global_core_terms_after_audit,,,,1031,792,6.511,,,pending,,,forms
psycho-analytic,global_core_terms_after_audit,,,,1028,500,4.1105,,,pending,,,psycho-analytic
journal,global_core_terms_after_audit,,,,1026,632,5.1957,,,pending,,,journal
external,global_core_terms_after_audit,,,,1025,726,5.9684,,,pending,,,external
words,global_core_terms_after_audit,,,,1023,684,5.6232,,,pending,,,words
example,global_core_terms_after_audit,,,,1008,863,7.0947,,,pending,,,example
good,global_core_terms_after_audit,,,,1002,696,5.7218,,,pending,,,good
seen,global_core_terms_after_audit,,,,1000,853,7.0125,,,pending,,,seen
changes,global_core_terms_after_audit,,,,994,697,5.73,,,pending,,,changes
special,global_core_terms_after_audit,,,,993,747,6.1411,,,pending,,,special
take,global_core_terms_after_audit,,,,990,879,7.2262,,,pending,,,take
object relations,global_core_bigrams_after_audit,,,,861,495,4.0694,,,pending,,,object relations
