rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
70,japa,defense mechanisms,terms_bigram,2924,9240,31,34,1.0602,0.368,0.6922,2.8846,2.399073
71,japa,unconscious fantasies,terms_bigram,2924,9240,37,56,1.2654,0.6061,0.6593,2.0969,2.398367
72,japa,ego ideal,terms_bigram,2924,9240,32,38,1.0944,0.4113,0.6831,2.667,2.38859
73,japa,submitted june,terms_bigram,2924,9240,22,0,0.7524,0.0,0.7524,142.1692,2.359127
74,japa,levy steven,terms_bigram,2924,9240,22,0,0.7524,0.0,0.7524,142.1692,2.359127
75,japa,faculty columbia,terms_bigram,2924,9240,24,9,0.8208,0.0974,0.7234,8.1477,2.328505
76,japa,roose steven,terms_bigram,2924,9240,23,5,0.7866,0.0541,0.7325,13.4989,2.327865
77,japa,object representations,terms_bigram,2924,9240,35,51,1.197,0.5519,0.645,2.1778,2.311522
78,japa,body image,terms_bigram,2924,9240,29,29,0.9918,0.3139,0.6779,3.1593,2.305805
79,japa,lawrence friedman,terms_bigram,2924,9240,23,6,0.7866,0.0649,0.7217,11.4221,2.29347
80,japa,reality testing,terms_bigram,2924,9240,33,45,1.1286,0.487,0.6416,2.3261,2.262435
81,japa,jacob arlow,terms_bigram,2924,9240,25,15,0.855,0.1623,0.6927,5.1976,2.256738
82,japa,weill cornell,terms_bigram,2924,9240,23,8,0.7866,0.0866,0.7,8.7346,2.224681
83,japa,east fax,terms_bigram,2924,9240,21,0,0.7182,0.0,0.7182,135.8506,2.219969
84,japa,chicago ill,terms_bigram,2924,9240,26,20,0.8892,0.2165,0.6727,4.084,2.21725
85,japa,human behavior,terms_bigram,2924,9240,23,10,0.7866,0.1082,0.6784,7.0709,2.155892
86,japa,issue japa,terms_bigram,2924,9240,20,1,0.684,0.0108,0.6732,43.1773,2.049487
87,japa,psychic structure,terms_bigram,2924,9240,44,90,1.5048,0.974,0.5308,1.5535,2.020432
88,japa,litowitz bonnie,terms_bigram,2924,9240,20,2,0.684,0.0216,0.6623,25.9064,2.016538
89,japa,bloomingdale white,terms_bigram,2924,9240,25,22,0.855,0.2381,0.6169,3.5806,2.009913
90,japa,selfand object,terms_bigram,2924,9240,21,7,0.7182,0.0758,0.6424,9.0567,1.985799
91,japa,psychiatry harvard,terms_bigram,2924,9240,28,34,0.9576,0.368,0.5896,2.6099,1.985448
92,japa,presented annual,terms_bigram,2924,9240,21,8,0.7182,0.0866,0.6316,7.9912,1.952346
93,japa,psychiatry weill,terms_bigram,2924,9240,21,8,0.7182,0.0866,0.6316,7.9912,1.952346
94,japa,submitted december,terms_bigram,2924,9240,19,0,0.6498,0.0,0.6498,123.2133,1.946611
95,japa,editor japa,terms_bigram,2924,9240,19,0,0.6498,0.0,0.6498,123.2133,1.946611
96,japa,francisco center,terms_bigram,2924,9240,29,39,0.9918,0.4221,0.5697,2.3595,1.93771
97,japa,richard gottlieb,terms_bigram,2924,9240,19,1,0.6498,0.0108,0.639,41.0711,1.91419
98,japa,association chicago,terms_bigram,2924,9240,20,6,0.684,0.0649,0.6191,9.964,1.88474
99,japa,kent brookline,terms_bigram,2924,9240,20,6,0.684,0.0649,0.6191,9.964,1.88474
100,japa,rosemary balsam,terms_bigram,2924,9240,19,2,0.6498,0.0216,0.6281,24.6427,1.881769
1,psychoanalytic_dialogues,correspondence addressed,terms_bigram,1578,10586,374,34,23.7009,0.3212,23.3797,72.7819,138.569802
2,psychoanalytic_dialogues,postdoctoral program,terms_bigram,1578,10586,330,57,20.9125,0.5384,20.3741,38.5385,118.212943
3,psychoanalytic_dialogues,training supervising,terms_bigram,1578,10586,193,286,12.2307,2.7017,9.529,4.5284,50.197369
4,psychoanalytic_dialogues,faculty member,terms_bigram,1578,10586,153,33,9.6958,0.3117,9.3841,30.7223,47.267191
5,psychoanalytic_dialogues,northern california,terms_bigram,1578,10586,144,26,9.1255,0.2456,8.8799,36.5606,44.192738
