rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
22,1920-1945,castration complex,terms_bigram,686,11478,20,37,2.9155,0.3224,2.5931,9.1342,7.894739
23,1920-1945,papers vol,terms_bigram,686,11478,18,0,2.6239,0.0,2.6239,618.2285,7.725933
24,1920-1945,throw light,terms_bigram,686,11478,19,28,2.7697,0.2439,2.5257,11.4324,7.566424
25,1920-1945,collected papers,terms_bigram,686,11478,18,17,2.6239,0.1481,2.4758,17.6637,7.289834
26,1920-1945,put forward,terms_bigram,686,11478,21,93,3.0612,0.8102,2.251,3.8421,6.957871
27,1920-1945,obsessional neurosis,terms_bigram,686,11478,18,34,2.6239,0.2962,2.3277,8.9598,6.853735
28,1920-1945,early childhood,terms_bigram,686,11478,22,121,3.207,1.0542,2.1528,3.0942,6.750112
29,1920-1945,douglas bryan,terms_bigram,686,11478,16,0,2.3324,0.0,2.3324,551.393,6.608078
30,1920-1945,part played,terms_bigram,686,11478,17,24,2.4781,0.2091,2.269,11.9349,6.558365
31,1920-1945,very little,terms_bigram,686,11478,17,36,2.4781,0.3136,2.1645,8.0111,6.256183
32,1920-1945,men women,terms_bigram,686,11478,18,58,2.6239,0.5053,2.1186,5.284,6.238065
33,1920-1945,karl abraham,terms_bigram,686,11478,16,17,2.3324,0.1481,2.1843,15.7541,6.188452
34,1920-1945,present time,terms_bigram,686,11478,16,24,2.3324,0.2091,2.1233,11.2529,6.015665
35,1920-1945,oberndorf oberndorf,terms_bigram,686,11478,15,3,2.1866,0.0261,2.1605,73.9965,5.990045
36,1920-1945,freud vienna,terms_bigram,686,11478,15,8,2.1866,0.0697,2.1169,30.4691,5.869266
37,1920-1945,otto fenichel,terms_bigram,686,11478,15,9,2.1866,0.0784,2.1082,27.2619,5.845111
38,1920-1945,sense guilt,terms_bigram,686,11478,16,31,2.3324,0.2701,2.0623,8.7523,5.842878
39,1920-1945,well known,terms_bigram,686,11478,19,96,2.7697,0.8364,1.9333,3.3764,5.791639
40,1920-1945,sexual life,terms_bigram,686,11478,15,17,2.1866,0.1481,2.0385,14.7993,5.651865
41,1920-1945,abraham karl,terms_bigram,686,11478,14,1,2.0408,0.0087,2.0321,161.5192,5.50304
42,1920-1945,little girl,terms_bigram,686,11478,15,35,2.1866,0.3049,1.8817,7.2954,5.217063
43,1920-1945,any rate,terms_bigram,686,11478,14,20,2.0408,0.1742,1.8666,11.8185,5.054765
44,1920-1945,carried out,terms_bigram,686,11478,18,105,2.6239,0.9148,1.7091,2.93,5.032379
45,1920-1945,abraham berlin,terms_bigram,686,11478,13,0,1.895,0.0,1.895,451.1397,5.001129
46,1920-1945,bryan douglas,terms_bigram,686,11478,13,0,1.895,0.0,1.895,451.1397,5.001129
47,1920-1945,searl searl,terms_bigram,686,11478,13,0,1.895,0.0,1.895,451.1397,5.001129
48,1920-1945,fenichel otto,terms_bigram,686,11478,13,0,1.895,0.0,1.895,451.1397,5.001129
49,1920-1945,melitta schmideberg,terms_bigram,686,11478,13,2,1.895,0.0174,1.8776,90.2279,4.955144
50,1920-1945,anal erotism,terms_bigram,686,11478,13,3,1.895,0.0261,1.8689,64.4485,4.932152
51,1920-1945,freud himself,terms_bigram,686,11478,16,72,2.3324,0.6273,1.7051,3.8027,4.83084
52,1920-1945,klein melanie,terms_bigram,686,11478,13,9,1.895,0.0784,1.8166,23.7442,4.794198
53,1920-1945,helene deutsch,terms_bigram,686,11478,13,18,1.895,0.1568,1.7382,12.193,4.587267
54,1920-1945,young man,terms_bigram,686,11478,15,62,2.1866,0.5402,1.6464,4.1438,4.56486
55,1920-1945,berlin karl,terms_bigram,686,11478,12,1,1.7493,0.0087,1.7406,139.2407,4.464445
56,1920-1945,based read,terms_bigram,686,11478,12,1,1.7493,0.0087,1.7406,139.2407,4.464445
57,1920-1945,schmideberg melitta,terms_bigram,686,11478,12,1,1.7493,0.0087,1.7406,139.2407,4.464445
58,1920-1945,vienna sigmund,terms_bigram,686,11478,12,3,1.7493,0.0261,1.7231,59.6746,4.419752
59,1920-1945,technique psycho-analysis,terms_bigram,686,11478,12,4,1.7493,0.0348,1.7144,46.4136,4.397405
60,1920-1945,sexual act,terms_bigram,686,11478,12,10,1.7493,0.0871,1.6621,19.8915,4.263325
61,1920-1945,father mother,terms_bigram,686,11478,12,19,1.7493,0.1655,1.5837,10.7108,4.062205
62,1920-1945,ferenczi ferenczi,terms_bigram,686,11478,11,0,1.6035,0.0,1.6035,384.3042,3.984544
