rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
72,1920-1945,character,terms_unigram,686,11478,90,606,13.1195,5.2797,7.8399,2.4932,35.364543
73,1920-1945,libido,terms_unigram,686,11478,68,182,9.9125,1.5856,8.3269,6.2716,35.256958
74,1920-1945,come,terms_unigram,686,11478,97,744,14.1399,6.482,7.658,2.1882,35.111572
75,1920-1945,symptoms,terms_unigram,686,11478,89,594,12.9738,5.1751,7.7986,2.5155,35.092411
76,1920-1945,view,terms_unigram,686,11478,137,1476,19.9708,12.8594,7.1115,1.556,35.039979
77,1920-1945,day,terms_unigram,686,11478,74,307,10.7872,2.6747,8.1125,4.0482,35.025579
78,1920-1945,way,terms_unigram,686,11478,161,1906,23.4694,16.6057,6.8637,1.4154,34.919772
79,1920-1945,attitude,terms_unigram,686,11478,76,359,11.0787,3.1277,7.951,3.5556,34.537573
80,1920-1945,once,terms_unigram,686,11478,78,399,11.3703,3.4762,7.894,3.2832,34.492627
81,1920-1945,special,terms_unigram,686,11478,91,656,13.2653,5.7153,7.55,2.3288,34.139616
82,1920-1945,see,terms_unigram,686,11478,92,679,13.4111,5.9157,7.4954,2.2746,33.97371
83,1920-1945,yet,terms_unigram,686,11478,103,889,15.0146,7.7453,7.2693,1.9442,33.761589
84,1920-1945,mental,terms_unigram,686,11478,135,1474,19.6793,12.842,6.8373,1.5355,33.5895
85,1920-1945,whom,terms_unigram,686,11478,77,412,11.2245,3.5895,7.635,3.1392,33.263534
86,1920-1945,individual,terms_unigram,686,11478,109,1018,15.8892,8.8691,7.0201,1.7964,32.99771
87,1920-1945,matter,terms_unigram,686,11478,71,311,10.3499,2.7095,7.6403,3.8353,32.67511
88,1920-1945,almost,terms_unigram,686,11478,76,414,11.0787,3.6069,7.4718,3.0838,32.456119
89,1920-1945,neurosis,terms_unigram,686,11478,76,415,11.0787,3.6156,7.4631,3.0764,32.418275
90,1920-1945,long,terms_unigram,686,11478,90,689,13.1195,6.0028,7.1167,2.1931,32.102639
91,1920-1945,number,terms_unigram,686,11478,90,691,13.1195,6.0202,7.0993,2.1868,32.024039
92,1920-1945,came,terms_unigram,686,11478,75,414,10.9329,3.6069,7.326,3.0435,31.727145
93,1920-1945,mother,terms_unigram,686,11478,102,927,14.8688,8.0763,6.7925,1.8465,31.481326
94,1920-1945,type,terms_unigram,686,11478,76,443,11.0787,3.8596,7.2192,2.8821,31.358625
95,1920-1945,something,terms_unigram,686,11478,82,563,11.9534,4.905,7.0483,2.4463,31.14539
96,1920-1945,own,terms_unigram,686,11478,158,1939,23.0321,16.8932,6.1389,1.3655,31.11741
97,1920-1945,congress,terms_unigram,686,11478,66,255,9.621,2.2216,7.3993,4.3489,31.111992
98,1920-1945,never,terms_unigram,686,11478,80,527,11.6618,4.5914,7.0704,2.5499,31.070581
99,1920-1945,etc,terms_unigram,686,11478,68,300,9.9125,2.6137,7.2988,3.8088,30.904069
100,1920-1945,take,terms_unigram,686,11478,93,786,13.5569,6.8479,6.709,1.9864,30.480821
1,1946-1969,ego,terms_unigram,1743,10421,580,950,33.276,9.1162,24.1598,3.6497,153.770808
2,1946-1969,summary,terms_unigram,1743,10421,531,1188,30.4647,11.4001,19.0647,2.6724,119.662064
3,1946-1969,psycho-analytic,terms_unigram,1743,10421,364,136,20.8835,1.3051,19.5785,15.9577,115.511005
4,1946-1969,freud,terms_unigram,1743,10421,586,1764,33.6202,16.9274,16.6928,1.9863,106.417249
5,1946-1969,psycho-analysis,terms_unigram,1743,10421,343,289,19.6787,2.7732,16.9055,7.0906,98.738784
6,1946-1969,made,terms_unigram,1743,10421,449,1106,25.7602,10.6132,15.147,2.4276,92.536765
7,1946-1969,any,terms_unigram,1743,10421,426,1033,24.4406,9.9127,14.5279,2.4661,87.992615
8,1946-1969,very,terms_unigram,1743,10421,444,1228,25.4733,11.7839,13.6894,2.1622,83.479124
9,1946-1969,even,terms_unigram,1743,10421,403,1074,23.1211,10.3061,12.8149,2.2441,76.90779
10,1946-1969,out,terms_unigram,1743,10421,470,1564,26.965,15.0082,11.9568,1.7972,73.592692
11,1946-1969,fact,terms_unigram,1743,10421,333,760,19.105,7.293,11.812,2.6206,68.641344
12,1946-1969,part,terms_unigram,1743,10421,431,1431,24.7275,13.7319,10.9956,1.8013,66.725943
13,1946-1969,early,terms_unigram,1743,10421,423,1397,24.2685,13.4056,10.8629,1.8109,65.717524
14,1946-1969,later,terms_unigram,1743,10421,327,789,18.7608,7.5713,11.1895,2.4789,64.820966
15,1946-1969,shall,terms_unigram,1743,10421,249,311,14.2857,2.9844,11.3014,4.7865,62.399994
16,1946-1969,must,terms_unigram,1743,10421,331,919,18.9902,8.8187,10.1715,2.1544,59.047019
17,1946-1969,since,terms_unigram,1743,10421,302,752,17.3264,7.2162,10.1103,2.4023,57.76727
18,1946-1969,problem,terms_unigram,1743,10421,277,600,15.8921,5.7576,10.1345,2.7616,57.033324
19,1946-1969,before,terms_unigram,1743,10421,306,799,17.5559,7.6672,9.8887,2.291,56.631237
20,1946-1969,time,terms_unigram,1743,10421,465,1829,26.6781,17.5511,9.127,1.5205,56.078243
21,1946-1969,life,terms_unigram,1743,10421,468,1878,26.8503,18.0213,8.829,1.4904,54.303395
22,1946-1969,himself,terms_unigram,1743,10421,266,599,15.261,5.748,9.513,2.6565,53.151694
23,1946-1969,object,terms_unigram,1743,10421,400,1478,22.9489,14.1829,8.766,1.6188,52.543298
24,1946-1969,course,terms_unigram,1743,10421,286,769,16.4085,7.3793,9.0292,2.225,51.100376
25,1946-1969,great,terms_unigram,1743,10421,253,557,14.5152,5.345,9.1702,2.7173,50.778613
26,1946-1969,subject,terms_unigram,1743,10421,294,837,16.8675,8.0319,8.8356,2.1014,50.247903
