journal_key,period,semantic_family,n_articles_initial,pct_articles_group_initial,n_articles_group_initial,n_articles_refined,pct_articles_group_refined,n_articles_group_refined,delta_pct_refined_minus_initial,absolute_pct_drop,relative_retention_pct
psychoanalytic_dialogues,2010-2025,body_sexuality_gender,278,26.6539,1043,214.0,20.5177,1043.0,-6.1362,6.1362,76.98
psychoanalytic_dialogues,2010-2025,language_narrative_symbolization,245,23.4899,1043,166.0,15.9156,1043.0,-7.5743,7.5743,67.76
psychoanalytic_dialogues,2010-2025,culture_race_social_ethics,453,43.4324,1043,270.0,25.8869,1043.0,-17.5455,17.5455,59.6
psychoanalytic_dialogues,2010-2025,empirical_research_measurement,64,6.1361,1043,58.0,5.5609,1043.0,-0.5752,0.5752,90.63
psychoanalytic_dialogues,2010-2025,history_theory_schools,84,8.0537,1043,10.0,0.9588,1043.0,-7.0949,7.0949,11.91
psychoanalytic_psychology,1970-1989,drive_conflict_defense,44,35.7724,123,44.0,35.7724,123.0,0.0,0.0,100.0
psychoanalytic_psychology,1970-1989,dream_fantasy_unconscious,24,19.5122,123,12.0,9.7561,123.0,-9.7561,9.7561,50.0
psychoanalytic_psychology,1970-1989,ego_self_narcissism,55,44.7154,123,31.0,25.2033,123.0,-19.5121,19.5121,56.36
psychoanalytic_psychology,1970-1989,object_relations,42,34.1463,123,32.0,26.0163,123.0,-8.13,8.13,76.19
psychoanalytic_psychology,1970-1989,kleinian_bionian,1,0.813,123,1.0,0.813,123.0,0.0,0.0,100.0
psychoanalytic_psychology,1970-1989,winnicottian_environment_holding,19,15.4472,123,2.0,1.626,123.0,-13.8212,13.8212,10.53
psychoanalytic_psychology,1970-1989,attachment_development_infant,47,38.2114,123,27.0,21.9512,123.0,-16.2602,16.2602,57.45
psychoanalytic_psychology,1970-1989,transference_countertransference,27,21.9512,123,27.0,21.9512,123.0,0.0,0.0,100.0
psychoanalytic_psychology,1970-1989,technique_interpretation_process,23,18.6992,123,19.0,15.4472,123.0,-3.252,3.252,82.61
psychoanalytic_psychology,1970-1989,relational_intersubjective_field,50,40.6504,123,35.0,28.4553,123.0,-12.1951,12.1951,70.0
psychoanalytic_psychology,1970-1989,trauma_dissociation_affect_regulation,36,29.2683,123,19.0,15.4472,123.0,-13.8211,13.8211,52.78
psychoanalytic_psychology,1970-1989,psychosis_borderline_primitive_states,17,13.8211,123,15.0,12.1951,123.0,-1.626,1.626,88.24
psychoanalytic_psychology,1970-1989,body_sexuality_gender,17,13.8211,123,15.0,12.1951,123.0,-1.626,1.626,88.24
