journal_key,period,semantic_family,n_articles,n_family_hits,total_terms_hit,n_articles_group,pct_articles_group
psychoanalytic_psychology,1990-2009,language_narrative_symbolization,108,108,129,622,17.3633
psychoanalytic_psychology,1990-2009,culture_race_social_ethics,103,103,141,622,16.5595
psychoanalytic_psychology,1990-2009,empirical_research_measurement,115,115,181,622,18.4887
psychoanalytic_psychology,1990-2009,history_theory_schools,157,157,285,622,25.2412
psychoanalytic_psychology,2010-2025,drive_conflict_defense,141,141,265,624,22.5962
psychoanalytic_psychology,2010-2025,dream_fantasy_unconscious,89,89,126,624,14.2628
psychoanalytic_psychology,2010-2025,ego_self_narcissism,246,246,398,624,39.4231
psychoanalytic_psychology,2010-2025,object_relations,96,96,181,624,15.3846
psychoanalytic_psychology,2010-2025,kleinian_bionian,12,12,17,624,1.9231
psychoanalytic_psychology,2010-2025,winnicottian_environment_holding,76,76,92,624,12.1795
psychoanalytic_psychology,2010-2025,attachment_development_infant,210,210,450,624,33.6538
psychoanalytic_psychology,2010-2025,transference_countertransference,79,79,106,624,12.6603
psychoanalytic_psychology,2010-2025,technique_interpretation_process,102,102,141,624,16.3462
psychoanalytic_psychology,2010-2025,relational_intersubjective_field,264,264,473,624,42.3077
psychoanalytic_psychology,2010-2025,trauma_dissociation_affect_regulation,212,212,358,624,33.9744
psychoanalytic_psychology,2010-2025,psychosis_borderline_primitive_states,38,38,64,624,6.0897
psychoanalytic_psychology,2010-2025,body_sexuality_gender,98,98,162,624,15.7051
psychoanalytic_psychology,2010-2025,language_narrative_symbolization,106,106,127,624,16.9872
psychoanalytic_psychology,2010-2025,culture_race_social_ethics,154,154,266,624,24.6795
psychoanalytic_psychology,2010-2025,empirical_research_measurement,196,196,427,624,31.4103
psychoanalytic_psychology,2010-2025,history_theory_schools,72,72,130,624,11.5385
psychoanalytic_psychotherapy,1970-1989,drive_conflict_defense,13,13,18,39,33.3333
psychoanalytic_psychotherapy,1970-1989,dream_fantasy_unconscious,6,6,9,39,15.3846
psychoanalytic_psychotherapy,1970-1989,ego_self_narcissism,6,6,10,39,15.3846
psychoanalytic_psychotherapy,1970-1989,object_relations,13,13,28,39,33.3333
psychoanalytic_psychotherapy,1970-1989,kleinian_bionian,1,1,2,39,2.5641
psychoanalytic_psychotherapy,1970-1989,winnicottian_environment_holding,6,6,6,39,15.3846
psychoanalytic_psychotherapy,1970-1989,attachment_development_infant,17,17,30,39,43.5897
psychoanalytic_psychotherapy,1970-1989,transference_countertransference,6,6,8,39,15.3846
psychoanalytic_psychotherapy,1970-1989,technique_interpretation_process,10,10,10,39,25.641
psychoanalytic_psychotherapy,1970-1989,relational_intersubjective_field,13,13,19,39,33.3333
psychoanalytic_psychotherapy,1970-1989,trauma_dissociation_affect_regulation,7,7,8,39,17.9487
psychoanalytic_psychotherapy,1970-1989,psychosis_borderline_primitive_states,9,9,9,39,23.0769
psychoanalytic_psychotherapy,1970-1989,body_sexuality_gender,4,4,6,39,10.2564
psychoanalytic_psychotherapy,1970-1989,language_narrative_symbolization,4,4,4,39,10.2564
psychoanalytic_psychotherapy,1970-1989,culture_race_social_ethics,7,7,7,39,17.9487
psychoanalytic_psychotherapy,1970-1989,empirical_research_measurement,6,6,7,39,15.3846
psychoanalytic_psychotherapy,1970-1989,history_theory_schools,5,5,9,39,12.8205
psychoanalytic_psychotherapy,1990-2009,drive_conflict_defense,96,96,152,399,24.0602
psychoanalytic_psychotherapy,1990-2009,dream_fantasy_unconscious,66,66,90,399,16.5414
psychoanalytic_psychotherapy,1990-2009,ego_self_narcissism,91,91,119,399,22.807
psychoanalytic_psychotherapy,1990-2009,object_relations,98,98,212,399,24.5614
psychoanalytic_psychotherapy,1990-2009,kleinian_bionian,35,35,46,399,8.7719
psychoanalytic_psychotherapy,1990-2009,winnicottian_environment_holding,47,47,54,399,11.7794
psychoanalytic_psychotherapy,1990-2009,attachment_development_infant,139,139,232,399,34.8371
psychoanalytic_psychotherapy,1990-2009,transference_countertransference,70,70,103,399,17.5439
psychoanalytic_psychotherapy,1990-2009,technique_interpretation_process,102,102,118,399,25.5639
psychoanalytic_psychotherapy,1990-2009,relational_intersubjective_field,106,106,154,399,26.5664
psychoanalytic_psychotherapy,1990-2009,trauma_dissociation_affect_regulation,125,125,159,399,31.3283
psychoanalytic_psychotherapy,1990-2009,psychosis_borderline_primitive_states,69,69,87,399,17.2932
psychoanalytic_psychotherapy,1990-2009,body_sexuality_gender,50,50,67,399,12.5313
psychoanalytic_psychotherapy,1990-2009,language_narrative_symbolization,44,44,50,399,11.0276
psychoanalytic_psychotherapy,1990-2009,culture_race_social_ethics,69,69,84,399,17.2932
psychoanalytic_psychotherapy,1990-2009,empirical_research_measurement,79,79,120,399,19.7995
psychoanalytic_psychotherapy,1990-2009,history_theory_schools,33,33,59,399,8.2707
psychoanalytic_psychotherapy,2010-2025,drive_conflict_defense,85,85,137,432,19.6759
psychoanalytic_psychotherapy,2010-2025,dream_fantasy_unconscious,60,60,72,432,13.8889
